SURVEY.YEAR,n,Mean,SD,Q25,Q50,Q75,Min,Max
2000,5227,23.70,16.01,12,21,32,0,118
2001,5349,25.87,15.72,14,23,34,0,112
2002,5532,26.71,15.18,16,24,35,0,131
2003,5699,26.47,15.19,15,24,34,0,121
2004,5541,27.12,15.26,16,24,35,0,120
2005,5359,28.22,15.52,17,26,37,0,115
2006,5425,27.60,15.34,16,25,36,0,113
2007,5462,29.06,15.64,18,27,38,0,135
2008,5312,27.68,15.70,16,25,36,0,154
2009,5361,24.09,13.87,14,22,31,0,111
2010,5428,24.04,13.84,14,22,31.25,0,117
2011,5200,24.26,13.69,14.75,22,31,0,97
2012,5131,23.40,13.51,13,21,31,0,105
2013,5200,21.92,13.44,12,19,29,0,113
2014,5400,21.06,12.99,12,19,28,0,154
2015,5252,20.35,12.30,12,18,27,0,99
2016,5194,20.41,12.35,12,18,27,0,105
2017,5259,19.18,11.71,11,17,25,0,96
2018,5457,18.85,11.70,11,17,25,0,105
2019,5890,18.20,11.78,10,16,24,0,95
