SURVEY.YEAR,n,Mean,SD,Q25,Q50,Q75,Min,Max
2000,5222,23.73,16.01,12,21,32,0,118
2001,5349,25.87,15.72,14,23,34,0,112
2002,5532,26.71,15.18,16,24,35,0,131
2003,5698,26.48,15.19,15,24,34,0,121
2004,5541,27.12,15.26,16,24,35,0,120
2005,5356,28.24,15.51,17,26,37,0,115
2006,5425,27.60,15.34,16,25,36,0,113
2007,5461,29.06,15.64,18,27,38,0,135
2008,5309,27.70,15.69,16,25,36,0,154
2009,5359,24.10,13.87,14,22,31,0,111
2010,5427,24.04,13.84,14,22,31.5,0,117
2011,5197,24.28,13.68,15,22,31,0,97
2012,5131,23.40,13.51,13,21,31,0,105
2013,5200,21.92,13.44,12,19,29,0,113
2014,5394,21.08,12.98,12,19,28,0,154
2015,5247,20.37,12.29,12,18,27,0,99
2016,5192,20.42,12.35,12,18,27,0,105
2017,5256,19.19,11.71,11,17,25,0,96
2018,5455,18.86,11.69,11,17,25,0,105
2019,5877,18.25,11.76,10,16,24,0,95
